N5,1,ちゃいけない・じゃいけない,cha ikenai / ja ikenai,must not do (spoken Japanese),,,,,,source: https://jlptsensei.com
N5,2,だ・です,da / desu,"to be (am, is, are, were, used to)",,,,,,
N5,3,だけ,dake,only; just; as much as,,,,,,
N5,4,だろう,darou,I think; it seems; probably; right?,,,,,,
N5,5,で,de,in; at; on; by; with; via,,,,,,
N5,6,でも,demo,but; however,,,,,,
N5,7,でしょう,deshou,I think; it seems; probably; right?,,,,,,
N5,8,どんな,donna,what kind of; what sort of,,,,,,
N5,9,どうして,doushite,why; for what reason; how,,,,,,
N5,10,どうやって,douyatte,how; in what way; by what means,,,,,,
N5,11,が,ga,subject marker; however; but,,,,,,
N5,12,があります,ga arimasu,there is; is (non-living things),,,,,,
N5,13,がほしい,ga hoshii,to want something,,,,,,
N5,14,がいます,ga imasu,there is; to be; is (living things),,,,,,
N5,15,ほうがいい,hou ga ii,had better; it'd be better to; should~,,,,,,
N5,16,い-adjectives,i-adjectives,i-adjectives,,,,,,
N5,17,一番,ichiban,the most; the best,,,,,,
N5,18,一緒に,issho ni,together,,,,,,
N5,19,いつも,itsumo,always; usually; habitually,,,,,,
N5,20,じゃない・ではない,janai / dewa nai,to not be (am not; is not; are not),,,,,,
N5,21,か,ka,question particle,,,,,,
N5,22,か〜か,ka~ka,or,,,,,,
N5,23,から,kara,because; since; from,,,,,,
N5,24,方,kata,the way of doing something; how to do,,,,,,
N5,25,けど,kedo,but; however; although,,,,,,
N5,26,けれども,keredo mo,but; however; although,,,,,,
N5,27,まだ,mada,still; not yet,,,,,,
N5,28,まだ〜ていません,mada ~te imasen,have not yet,,,,,,
N5,29,まで,made,until ~; as far as ~; to (an extent); even ~,,,,,,
N5,30,前に,mae ni,before ~; in front of ~,,,,,,
N5,31,ませんか,masen ka,would you; do you want to; shall we~,,,,,,
N5,32,ましょう,mashou,let's ~; shall we ~,,,,,,
N5,33,ましょうか,mashouka,shall I ~; used to offer help to the listener,,,,,,
N5,34,も,mo,too; also; as well,,,,,,
N5,35,もう,mou,already; anymore; again; other,,,,,,
N5,36,な-adjectives,na-adjectives,na-adjectives,,,,,,
N5,37,なあ,naa,"sentence ending particle; confirmation; admiration, etc",,,,,,
N5,38,ないで,naide,without doing~ ; To do [B] without doing [A],,,,,,
N5,39,ないでください,naide kudasai,please don't do,,,,,,
N5,40,なくてもいい,naku temo ii,don't have to,,,,,,
N5,41,なくちゃ,nakucha,must do; need to; gotta do,,,,,,
N5,42,なくてはいけない,nakute wa ikenai,must do; need to do,,,,,,
N5,43,なくてはならない,nakute wa naranai,must do; need to do,,,,,,
N5,44,なる,naru,to become,,,,,,
N5,45,んです,ndesu,to explain something; show emphasis,,,,,,
N5,46,ね,ne,isn't it? right? eh?,,,,,,
N5,47,に,ni,destination particle; in; at; on; to,,,,,,
N5,48,にいく,ni iku,go to do,,,,,,
N5,49,にする,ni suru,to decide on,,,,,,
N5,50,に/へ,ni/e,to (indicates direction / destination),,,,,,
N5,51,の,no,possessive particle,,,,,,
N5,52,のです,no desu,to explain something; show emphasis,,,,,,
N5,53,のが下手,no ga heta,to be bad at doing something,,,,,,
N5,54,のが上手,no ga jouzu,to be good at,,,,,,
N5,55,のが好き,no ga suki,to like doing something,,,,,,
N5,56,の中で[A]が一番,no naka de [A] ga ichiban,"out of this group, [A] is best",,,,,,
N5,57,ので,node,because of; given that; since,,,,,,
N5,58,を,o / wo,object marker particle,,,,,,
N5,59,をください,o kudasai,please give me~,,,,,,
N5,60,しかし,shikashi,but; however,,,,,,
N5,61,すぎる,sugiru,too much,,,,,,
N5,62,たことがある,ta koto ga aru,to have done something before,,,,,,
N5,63,たい,tai,want to do something,,,,,,
N5,64,たり〜たり,tari~tari,do such things as A and B,,,,,,
N5,65,てある,te aru,is/has been done (resulting state),,,,,,
